date,cyclists,April,August,December,February,January,July,June,March,May,November,October,September,Weekday,Weekend,trend,mean_temp,percip(mm),Holiday,rain_binary,forecast_rain,forecast_temp,forecast_percip
2019-03-06,1610,0,0,0,0,0,0,0,1,0,0,0,0,1,0,65,2.4,0.8,0,1,0,0,0
2019-03-07,1621,0,0,0,0,0,0,0,1,0,0,0,0,1,0,66,5.2,0.2,0,1,0,0,0
2019-03-08,1296,0,0,0,0,0,0,0,1,0,0,0,0,1,0,67,2.6,5.4,0,1,0,0,0
2019-03-09,1073,0,0,0,0,0,0,0,1,0,0,0,0,0,1,68,3.4,0,0,0,0,0,0
2019-03-10,1256,0,0,0,0,0,0,0,1,0,0,0,0,0,1,69,3.4,0,0,0,0,0,0
2019-03-11,1469,0,0,0,0,0,0,0,1,0,0,0,0,1,0,70,4.5,8.6,0,1,0,0,0
2019-03-12,1648,0,0,0,0,0,0,0,1,0,0,0,0,1,0,71,6.1,2,0,1,0,0,0
2019-03-13,1843,0,0,0,0,0,0,0,1,0,0,0,0,1,0,72,5.4,0,0,0,0,0,0
2019-03-14,1811,0,0,0,0,0,0,0,1,0,0,0,0,1,0,73,7.1,0.5,0,1,0,0,0
2019-03-15,1888,0,0,0,0,0,0,0,1,0,0,0,0,1,0,74,9,0,0,0,0,0,0
2019-03-16,1510,0,0,0,0,0,0,0,1,0,0,0,0,0,1,75,9.8,0,0,0,0,0,0
2019-03-17,1935,0,0,0,0,0,0,0,1,0,0,0,0,0,1,76,9.2,0,0,0,0,0,0
2019-03-18,2350,0,0,0,0,0,0,0,1,0,0,0,0,1,0,77,12.1,0,0,0,0,0,0
2019-03-19,2608,0,0,0,0,0,0,0,1,0,0,0,0,1,0,78,14.4,0,0,0,0,0,0
2019-03-20,2731,0,0,0,0,0,0,0,1,0,0,0,0,1,0,79,15.9,0,0,0,0,0,0
2019-03-21,2392,0,0,0,0,0,0,0,1,0,0,0,0,1,0,80,9.6,0,0,0,0,0,0
2019-03-22,1868,0,0,0,0,0,0,0,1,0,0,0,0,1,0,81,10.7,0,0,0,0,0,0
2019-03-23,1440,0,0,0,0,0,0,0,1,0,0,0,0,0,1,82,10,0,0,0,0,0,0
2019-03-24,1633,0,0,0,0,0,0,0,1,0,0,0,0,0,1,83,7.1,0.2,0,1,0,0,0
2019-03-25,1857,0,0,0,0,0,0,0,1,0,0,0,0,1,0,84,8.4,2.2,0,1,0,0,0
2019-03-26,2321,0,0,0,0,0,0,0,1,0,0,0,0,1,0,85,9.6,2.7,0,1,0,0,0
2019-03-27,2503,0,0,0,0,0,0,0,1,0,0,0,0,1,0,86,10.2,0,0,0,0,0,0
2019-03-28,2505,0,0,0,0,0,0,0,1,0,0,0,0,1,0,87,11.3,0,0,0,0,0,0
2019-03-29,2422,0,0,0,0,0,0,0,1,0,0,0,0,1,0,88,8,0,0,0,0,0,0
2019-03-30,2105,0,0,0,0,0,0,0,1,0,0,0,0,0,1,89,8.3,0,0,0,0,0,0
2019-03-31,1986,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90,9.1,0,0,0,0,0,0
2019-04-01,2713,1,0,0,0,0,0,0,0,0,0,0,0,1,0,91,12,0,0,0,0,0,0
2019-04-02,2780,1,0,0,0,0,0,0,0,0,0,0,0,1,0,92,13.3,0,0,0,0,0,0
2019-04-03,2040,1,0,0,0,0,0,0,0,0,0,0,0,1,0,93,10.9,2.5,0,1,0,0,0
2019-04-04,2531,1,0,0,0,0,0,0,0,0,0,0,0,1,0,94,11.7,0,0,0,0,0,0
2019-04-05,1759,1,0,0,0,0,0,0,0,0,0,0,0,1,0,95,11.4,0.2,0,1,0,0,0
2019-04-06,729,1,0,0,0,0,0,0,0,0,0,0,0,0,1,96,9.2,0.2,0,1,0,0,0
2019-04-07,1844,1,0,0,0,0,0,0,0,0,0,0,0,0,1,97,9.1,0.2,0,1,0,0,0
2019-04-08,1983,1,0,0,0,0,0,0,0,0,0,0,0,1,0,98,8.4,4.5,0,1,0,0,0
2019-04-09,2563,1,0,0,0,0,0,0,0,0,0,0,0,1,0,99,9.8,4.6,0,1,0,0,0
2019-04-10,1907,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,9.6,1,0,1,0,0,0
2019-04-11,1563,1,0,0,0,0,0,0,0,0,0,0,0,1,0,101,9.1,2.8,0,1,0,0,0
2019-04-12,2350,1,0,0,0,0,0,0,0,0,0,0,0,1,0,102,9.6,0,0,0,0,0,0
2019-04-13,533,1,0,0,0,0,0,0,0,0,0,0,0,0,1,103,8.6,5.2,0,1,0,0,0
2019-04-14,1089,1,0,0,0,0,0,0,0,0,0,0,0,0,1,104,7.5,0,0,0,0,0,0
2019-04-15,2496,1,0,0,0,0,0,0,0,0,0,0,0,1,0,105,9,0,0,0,0,0,0
2019-04-16,2348,1,0,0,0,0,0,0,0,0,0,0,0,1,0,106,8.2,0,0,0,0,0,0
2019-04-17,2442,1,0,0,0,0,0,0,0,0,0,0,0,1,0,107,11.3,0,0,0,0,0,0
2019-04-18,1226,1,0,0,0,0,0,0,0,0,0,0,0,1,0,108,11.6,11.6,0,1,0,0,0
2019-04-19,1407,1,0,0,0,0,0,0,0,0,0,0,0,1,0,109,12,2.3,1,1,0,0,0
2019-04-20,2183,1,0,0,0,0,0,0,0,0,0,0,0,0,1,110,9.9,0.2,0,1,0,0,0
2019-04-21,1569,1,0,0,0,0,0,0,0,0,0,0,0,0,1,111,10.4,0,0,0,0,0,0
2019-04-22,652,1,0,0,0,0,0,0,0,0,0,0,0,1,0,112,9.4,2.1,0,1,0,0,0
2019-04-23,2757,1,0,0,0,0,0,0,0,0,0,0,0,1,0,113,11.4,0.2,0,1,0,0,0
2019-04-24,2795,1,0,0,0,0,0,0,0,0,0,0,0,1,0,114,10.1,0,0,0,0,0,0
2019-04-25,2662,1,0,0,0,0,0,0,0,0,0,0,0,1,0,115,9.5,0,0,0,0,0,0
2019-04-26,2368,1,0,0,0,0,0,0,0,0,0,0,0,1,0,116,9.4,0,0,0,0,0,0
2019-04-27,1295,1,0,0,0,0,0,0,0,0,0,0,0,0,1,117,9.5,0,0,0,0,0,0
2019-04-28,2106,1,0,0,0,0,0,0,0,0,0,0,0,0,1,118,9.6,0,0,0,0,0,0
2019-04-29,2946,1,0,0,0,0,0,0,0,0,0,0,0,1,0,119,11.3,0,0,0,0,0,0
2019-04-30,3161,1,0,0,0,0,0,0,0,0,0,0,0,1,0,120,12,0,0,0,0,0,0
2019-05-01,3041,0,0,0,0,0,0,0,0,1,0,0,0,1,0,121,12.1,0,0,0,0,0,0
2019-05-02,2807,0,0,0,0,0,0,0,0,1,0,0,0,1,0,122,11.7,0,0,0,0,0,0
2019-05-03,2576,0,0,0,0,0,0,0,0,1,0,0,0,1,0,123,10.6,0,0,0,0,0,0
2019-05-04,2100,0,0,0,0,0,0,0,0,1,0,0,0,0,1,124,11.6,0,0,0,0,0,0
2019-05-05,2219,0,0,0,0,0,0,0,0,1,0,0,0,0,1,125,12.8,0,0,0,0,0,0
2019-05-06,3071,0,0,0,0,0,0,0,0,1,0,0,0,1,0,126,11.7,0,0,0,0,0,0
2019-05-07,3419,0,0,0,0,0,0,0,0,1,0,0,0,1,0,127,13.1,0,0,0,0,0,0
2019-05-08,3389,0,0,0,0,0,0,0,0,1,0,0,0,1,0,128,13,0,0,0,0,0,0
2019-05-09,3446,0,0,0,0,0,0,0,0,1,0,0,0,1,0,129,16.6,0,0,0,0,0,0
2019-05-10,3180,0,0,0,0,0,0,0,0,1,0,0,0,1,0,130,16,0,0,0,0,0,0
2019-05-11,2127,0,0,0,0,0,0,0,0,1,0,0,0,0,1,131,15.8,0,0,0,0,0,0
2019-05-12,1640,0,0,0,0,0,0,0,0,1,0,0,0,0,1,132,11.8,0,0,0,0,0,0
2019-05-13,2920,0,0,0,0,0,0,0,0,1,0,0,0,1,0,133,10.9,0,0,0,0,0,0
2019-05-14,2008,0,0,0,0,0,0,0,0,1,0,0,0,1,0,134,11.8,0.3,0,1,0,0,0
2019-05-15,2949,0,0,0,0,0,0,0,0,1,0,0,0,1,0,135,14,0.9,0,1,0,0,0
2019-05-16,2692,0,0,0,0,0,0,0,0,1,0,0,0,1,0,136,13.4,0,0,0,0,0,0
2019-05-17,2238,0,0,0,0,0,0,0,0,1,0,0,0,1,0,137,13,0,0,0,0,0,0
2019-05-18,2114,0,0,0,0,0,0,0,0,1,0,0,0,0,1,138,14,0,0,0,0,0,0
2019-05-19,2241,0,0,0,0,0,0,0,0,1,0,0,0,0,1,139,14.4,0,1,0,0,0,0
2019-05-20,724,0,0,0,0,0,0,0,0,1,0,0,0,1,0,140,11.3,10.3,0,1,0,0,0
2019-05-21,2791,0,0,0,0,0,0,0,0,1,0,0,0,1,0,141,13.2,1.5,0,1,0,0,0
2019-05-22,3601,0,0,0,0,0,0,0,0,1,0,0,0,1,0,142,13.8,0.2,0,1,0,0,0
2019-05-23,3619,0,0,0,0,0,0,0,0,1,0,0,0,1,0,143,16,0,0,0,0,0,0
2019-05-24,2801,0,0,0,0,0,0,0,0,1,0,0,0,1,0,144,13.3,0,0,0,0,0,0
2019-05-25,692,0,0,0,0,0,0,0,0,1,0,0,0,0,1,145,11.5,20,0,1,0,0,0
2019-05-26,2761,0,0,0,0,0,0,0,0,1,0,0,0,0,1,146,13.8,0.2,0,1,0,0,0
2019-05-27,4289,0,0,0,0,0,0,0,0,1,0,0,0,1,0,147,16.1,0,0,0,0,0,0
2019-05-28,3803,0,0,0,0,0,0,0,0,1,0,0,0,1,0,148,13.1,0,0,0,0,0,0
2019-05-29,3927,0,0,0,0,0,0,0,0,1,0,0,0,1,0,149,13.3,0,0,0,0,0,0
2019-05-30,3870,0,0,0,0,0,0,0,0,1,0,0,0,1,0,150,14.5,0,0,0,0,0,0
2019-05-31,3770,0,0,0,0,0,0,0,0,1,0,0,0,1,0,151,14.8,0,0,0,0,0,0
2019-06-01,2322,0,0,0,0,0,0,1,0,0,0,0,0,0,1,152,15.3,0,0,0,0,0,0
2019-06-02,2339,0,0,0,0,0,0,1,0,0,0,0,0,0,1,153,15.1,0,0,0,0,0,0
2019-06-03,3267,0,0,0,0,0,0,1,0,0,0,0,0,1,0,154,14.3,0,0,0,0,0,0
2019-06-04,3709,0,0,0,0,0,0,1,0,0,0,0,0,1,0,155,13.3,0.2,0,1,0,0,0
2019-06-05,3076,0,0,0,0,0,0,1,0,0,0,0,0,1,0,156,12.4,0.4,0,1,0,0,0
2019-06-06,3177,0,0,0,0,0,0,1,0,0,0,0,0,1,0,157,11.6,0.2,0,1,0,0,0
2019-06-07,2579,0,0,0,0,0,0,1,0,0,0,0,0,1,0,158,12,0.3,0,1,0,0,0
2019-06-08,2319,0,0,0,0,0,0,1,0,0,0,0,0,0,1,159,13.5,0,0,0,0,0,0
2019-06-09,2298,0,0,0,0,0,0,1,0,0,0,0,0,0,1,160,12.5,0,0,0,0,0,0
2019-06-10,3292,0,0,0,0,0,0,1,0,0,0,0,0,1,0,161,14,0,0,0,0,0,0
2019-06-11,4015,0,0,0,0,0,0,1,0,0,0,0,0,1,0,162,18.6,0,0,0,0,0,0
2019-06-12,4029,0,0,0,0,0,0,1,0,0,0,0,0,1,0,163,20.5,0,0,0,0,0,0
2019-06-13,3499,0,0,0,0,0,0,1,0,0,0,0,0,1,0,164,16.5,0,0,0,0,0,0
2019-06-14,3121,0,0,0,0,0,0,1,0,0,0,0,0,1,0,165,14.3,0,0,0,0,0,0
2019-06-15,2526,0,0,0,0,0,0,1,0,0,0,0,0,0,1,166,14.3,0,0,0,0,0,0
2019-06-16,2948,0,0,0,0,0,0,1,0,0,0,0,0,0,1,167,14.8,0,0,0,0,0,0
2019-06-17,3467,0,0,0,0,0,0,1,0,0,0,0,0,1,0,168,16.1,0.2,0,1,0,0,0
2019-06-18,3478,0,0,0,0,0,0,1,0,0,0,0,0,1,0,169,14.4,0,0,0,0,0,0
2019-06-19,3228,0,0,0,0,0,0,1,0,0,0,0,0,1,0,170,13.4,0,0,0,0,0,0
2019-06-20,3177,0,0,0,0,0,0,1,0,0,0,0,0,1,0,171,14.5,0,0,0,0,0,0
2019-06-21,3323,0,0,0,0,0,0,1,0,0,0,0,0,1,0,172,14.7,0,0,0,0,0,0
2019-06-22,2320,0,0,0,0,0,0,1,0,0,0,0,0,0,1,173,14.3,0,0,0,0,0,0
2019-06-23,1955,0,0,0,0,0,0,1,0,0,0,0,0,0,1,174,13.7,0,0,0,0,0,0
2019-06-24,3234,0,0,0,0,0,0,1,0,0,0,0,0,1,0,175,14.1,0,0,0,0,0,0
2019-06-25,3689,0,0,0,0,0,0,1,0,0,0,0,0,1,0,176,14.4,0,0,0,0,0,0
2019-06-26,3501,0,0,0,0,0,0,1,0,0,0,0,0,1,0,177,14.8,0,0,0,0,0,0
2019-06-27,2007,0,0,0,0,0,0,1,0,0,0,0,0,1,0,178,14.5,10.4,0,1,0,0,0
2019-06-28,3016,0,0,0,0,0,0,1,0,0,0,0,0,1,0,179,14.2,0,0,0,0,0,0
2019-06-29,2335,0,0,0,0,0,0,1,0,0,0,0,0,0,1,180,15.2,0,0,0,0,0,0
2019-06-30,2581,0,0,0,0,0,0,1,0,0,0,0,0,0,1,181,16.4,0,0,0,0,0,0
2019-07-01,3222,0,0,0,0,0,1,0,0,0,0,0,0,1,0,182,16.2,0,1,0,0,0,0
2019-07-02,2190,0,0,0,0,0,1,0,0,0,0,0,0,1,0,183,14.3,7.8,0,1,0,0,0
2019-07-03,3449,0,0,0,0,0,1,0,0,0,0,0,0,1,0,184,14.7,0,0,0,0,0,0
2019-07-04,3418,0,0,0,0,0,1,0,0,0,0,0,0,1,0,185,15.2,0,0,0,0,0,0
2019-07-05,2799,0,0,0,0,0,1,0,0,0,0,0,0,1,0,186,14.5,0,0,0,0,0,0
2019-07-06,2511,0,0,0,0,0,1,0,0,0,0,0,0,0,1,187,15.3,0,0,0,0,0,0
2019-07-07,1817,0,0,0,0,0,1,0,0,0,0,0,0,0,1,188,13.5,1.4,0,1,0,0,0
2019-07-08,3471,0,0,0,0,0,1,0,0,0,0,0,0,1,0,189,15,0,0,0,0,0,0
2019-07-09,3140,0,0,0,0,0,1,0,0,0,0,0,0,1,0,190,15.2,3.9,0,1,0,0,0
2019-07-10,2119,0,0,0,0,0,1,0,0,0,0,0,0,1,0,191,14.3,1.9,0,1,0,0,0
2019-07-11,2999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,192,16,0.5,0,1,0,0,0
2019-07-12,3214,0,0,0,0,0,1,0,0,0,0,0,0,1,0,193,15.6,0,0,0,0,0,0
2019-07-13,2652,0,0,0,0,0,1,0,0,0,0,0,0,0,1,194,16.9,0,0,0,0,0,0
2019-07-14,2532,0,0,0,0,0,1,0,0,0,0,0,0,0,1,195,16.3,0,0,0,0,0,0
2019-07-15,2989,0,0,0,0,0,1,0,0,0,0,0,0,1,0,196,15.6,0,0,0,0,0,0
2019-07-16,3750,0,0,0,0,0,1,0,0,0,0,0,0,1,0,197,16.5,0,0,0,0,0,0
2019-07-17,2073,0,0,0,0,0,1,0,0,0,0,0,0,1,0,198,16.2,2,0,1,0,0,0
2019-07-18,3582,0,0,0,0,0,1,0,0,0,0,0,0,1,0,199,15.7,0.2,0,1,0,0,0
2019-07-19,3229,0,0,0,0,0,1,0,0,0,0,0,0,1,0,200,15,0,0,0,0,0,0
2019-07-20,2627,0,0,0,0,0,1,0,0,0,0,0,0,0,1,201,16.4,0,0,0,0,0,0
2019-07-21,3146,0,0,0,0,0,1,0,0,0,0,0,0,0,1,202,15.9,0,0,0,0,0,0
2019-07-22,3438,0,0,0,0,0,1,0,0,0,0,0,0,1,0,203,16.7,0,0,0,0,0,0
2019-07-23,3578,0,0,0,0,0,1,0,0,0,0,0,0,1,0,204,16.3,0,0,0,0,0,0
2019-07-24,3561,0,0,0,0,0,1,0,0,0,0,0,0,1,0,205,16.4,0,0,0,0,0,0
2019-07-25,3581,0,0,0,0,0,1,0,0,0,0,0,0,1,0,206,16.3,0.2,0,1,0,0,0
2019-07-26,3307,0,0,0,0,0,1,0,0,0,0,0,0,1,0,207,19,0.2,0,1,0,0,0
2019-07-27,2377,0,0,0,0,0,1,0,0,0,0,0,0,0,1,208,18.3,0,0,0,0,0,0
2019-07-28,2547,0,0,0,0,0,1,0,0,0,0,0,0,0,1,209,17,0,0,0,0,0,0
2019-07-29,3562,0,0,0,0,0,1,0,0,0,0,0,0,1,0,210,17,0,0,0,0,0,0
2019-07-30,3604,0,0,0,0,0,1,0,0,0,0,0,0,1,0,211,16.8,0,0,0,0,0,0
2019-07-31,3384,0,0,0,0,0,1,0,0,0,0,0,0,1,0,212,17,0,0,0,0,0,0
2019-08-01,3430,0,1,0,0,0,0,0,0,0,0,0,0,1,0,213,17,0,0,0,0,0,0
2019-08-02,2867,0,1,0,0,0,0,0,0,0,0,0,0,1,0,214,17,6.9,0,1,0,0,0
2019-08-03,2550,0,1,0,0,0,0,0,0,0,0,0,0,0,1,215,15.7,0,0,0,0,0,0
2019-08-04,2987,0,1,0,0,0,0,0,0,0,0,0,0,0,1,216,17.2,0,0,0,0,0,0
2019-08-05,2476,0,1,0,0,0,0,0,0,0,0,0,0,1,0,217,16.3,0,1,0,0,0,0
2019-08-06,3539,0,1,0,0,0,0,0,0,0,0,0,0,1,0,218,16.3,0,0,0,0,0,0
2019-08-07,3568,0,1,0,0,0,0,0,0,0,0,0,0,1,0,219,16.9,0,0,0,0,0,0
2019-08-08,3384,0,1,0,0,0,0,0,0,0,0,0,0,1,0,220,16,0,0,0,0,0,0
2019-08-09,2897,0,1,0,0,0,0,0,0,0,0,0,0,1,0,221,15.8,0,0,0,0,0,0
2019-08-10,1192,0,1,0,0,0,0,0,0,0,0,0,0,0,1,222,15.1,1.1,0,1,0,0,0
2019-08-11,1957,0,1,0,0,0,0,0,0,0,0,0,0,0,1,223,15.7,0,0,0,0,0,0
2019-08-12,3463,0,1,0,0,0,0,0,0,0,0,0,0,1,0,224,16.8,0,0,0,0,0,0
2019-08-13,4039,0,1,0,0,0,0,0,0,0,0,0,0,1,0,225,16.6,0,0,0,0,0,0
2019-08-14,3781,0,1,0,0,0,0,0,0,0,0,0,0,1,0,226,16.7,0,0,0,0,0,0
2019-08-15,3838,0,1,0,0,0,0,0,0,0,0,0,0,1,0,227,17.2,0,0,0,0,0,0
2019-08-16,3384,0,1,0,0,0,0,0,0,0,0,0,0,1,0,228,15.9,0,0,0,0,0,0
2019-08-17,2393,0,1,0,0,0,0,0,0,0,0,0,0,0,1,229,16.1,0,0,0,0,0,0
2019-08-18,2684,0,1,0,0,0,0,0,0,0,0,0,0,0,1,230,15.2,0,0,0,0,0,0
2019-08-19,3421,0,1,0,0,0,0,0,0,0,0,0,0,1,0,231,15.6,0,0,0,0,0,0
2019-08-20,3851,0,1,0,0,0,0,0,0,0,0,0,0,1,0,232,16,0.2,0,1,0,0,0
2019-08-21,2353,0,1,0,0,0,0,0,0,0,0,0,0,1,0,233,15.7,4.4,0,1,0,0,0
2019-08-22,3512,0,1,0,0,0,0,0,0,0,0,0,0,1,0,234,16.3,0,0,0,0,0,0
2019-08-23,2275,0,1,0,0,0,0,0,0,0,0,0,0,1,0,235,16.1,2.1,0,1,0,0,0
2019-08-24,1817,0,1,0,0,0,0,0,0,0,0,0,0,0,1,236,16.3,0.9,0,1,0,0,0
2019-08-25,2579,0,1,0,0,0,0,0,0,0,0,0,0,0,1,237,16.3,0,0,0,0,0,0
2019-08-26,3333,0,1,0,0,0,0,0,0,0,0,0,0,1,0,238,16.5,0,0,0,0,0,0
2019-08-27,3801,0,1,0,0,0,0,0,0,0,0,0,0,1,0,239,18.9,0,0,0,0,0,0
2019-08-28,3635,0,1,0,0,0,0,0,0,0,0,0,0,1,0,240,19.6,0,0,0,0,0,0
2019-08-29,3393,0,1,0,0,0,0,0,0,0,0,0,0,1,0,241,16.8,0.5,0,1,0,0,0
2019-08-30,2607,0,1,0,0,0,0,0,0,0,0,0,0,1,0,242,16.2,0.8,0,1,0,0,0
2019-08-31,2308,0,1,0,0,0,0,0,0,0,0,0,0,0,1,243,16.5,0,0,0,0,0,0
2019-09-01,2356,0,0,0,0,0,0,0,0,0,0,0,1,0,1,244,16.4,0,0,0,0,0,0
2019-09-02,2450,0,0,0,0,0,0,0,0,0,0,0,1,1,0,245,15.2,0,1,0,0,0,0
